,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8
Substage 1,,0.007640317367029092,0.0002938583602703497,0.8354393182486042,0.016749926535409933,0.13928886276814575,0.0005877167205406994,0.0
Substage 2,0.00825156110615522,,0.09611953612845674,0.09009812667261374,0.5497323818019625,0.2350579839429081,0.012042818911685994,0.008697591436217662
Substage 3,0.00842778262133101,0.10839872130194711,,0.021505376344086023,0.24411508282476024,0.34844521941296136,0.25050857308921826,0.01859924440569602
Substage 4,0.60430501488436,0.09617586443782918,0.016029310739638196,,0.14907258987863523,0.1238836730020609,0.005953743989008472,0.004579803068468056
Substage 5,0.01678154030566377,0.4646388972130656,0.23074617920287682,0.05813605034462092,,0.16421935870542403,0.0641294575966437,0.0013485166317051243
Substage 6,0.12066805845511483,0.10981210855949895,0.19791231732776618,0.11649269311064718,0.4265135699373695,,0.01022964509394572,0.01837160751565762
Substage 7,0.005578800557880056,0.001394700139470014,0.25523012552301255,0.05230125523012552,0.4177126917712692,0.2629009762900976,,0.0048814504881450485
Substage 8,0.0,0.15859030837004406,0.3744493392070485,0.10572687224669604,0.0881057268722467,0.21585903083700442,0.05726872246696035,
