,S1,S2,S3,S4,S5,S6
S1,,0.39464882943143814,0.4180602006688963,0.14046822742474915,0.046822742474916385,0.0
S2,0.17370892018779344,,0.5328638497652582,0.09389671361502347,0.19953051643192488,0.0
S3,0.3621495327102804,0.39485981308411217,,0.07242990654205607,0.14953271028037382,0.02102803738317757
S4,0.3472222222222222,0.4722222222222222,0.0763888888888889,,0.10416666666666667,0.0
S5,0.11797752808988764,0.39325842696629215,0.3146067415730337,0.17415730337078653,,0.0
S6,0.0,0.0,1.0,0.0,0.0,
