,S1,S2,S3,S4,S5,S6,S7,S8,S9
S1,,0.6327212020033389,0.08347245409015025,0.10350584307178631,0.07512520868113523,0.02337228714524207,0.045075125208681135,0.02671118530884808,0.01001669449081803
S2,0.4407643312101911,,0.14267515923566879,0.1464968152866242,0.025477707006369428,0.0840764331210191,0.15286624203821655,0.006369426751592357,0.0012738853503184713
S3,0.19130434782608696,0.5347826086956522,,0.09130434782608696,0.09565217391304348,0.04782608695652174,0.013043478260869565,0.021739130434782608,0.004347826086956522
S4,0.4658119658119658,0.20085470085470086,0.1623931623931624,,0.004273504273504274,0.038461538461538464,0.10256410256410256,0.02564102564102564,0.0
S5,0.3523809523809524,0.34285714285714286,0.11428571428571428,0.047619047619047616,,0.09523809523809523,0.0,0.047619047619047616,0.0
S6,0.12612612612612611,0.6216216216216216,0.10810810810810811,0.0,0.12612612612612611,,0.0,0.018018018018018018,0.0
S7,0.15254237288135594,0.6440677966101694,0.01694915254237288,0.1694915254237288,0.0,0.0,,0.011299435028248588,0.005649717514124294
S8,0.4146341463414634,0.3170731707317073,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.07317073170731707,,0.0
S9,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,
