,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6
Substage 1,,0.008839779005524863,0.009208103130755065,0.7959484346224678,0.0055248618784530384,0.18047882136279927
Substage 2,0.024685262898049863,,0.090594914835843,0.6832880770180202,0.06615650456677363,0.13527524068131325
Substage 3,0.032361516034985424,0.0912536443148688,,0.60932944606414,0.20058309037900873,0.06647230320699708
Substage 4,0.2106299212598425,0.3813429571303587,0.27088801399825024,,0.024715660542432197,0.11242344706911636
Substage 5,0.0473421926910299,0.026578073089700997,0.3637873754152824,0.4227574750830565,,0.13953488372093023
Substage 6,0.2116165718927701,0.07920389926888709,0.049959382615759544,0.6563769293257514,0.002843216896831844,
