stage,mean_minutes,median_minutes,std_minutes,mean_prop,median_prop,std_prop,n_records
Awake,320.36473429951695,224.96666666666667,304.3875308980816,0.449594053887849,0.47869781294310476,0.18482444383339855,138
NREM,266.0574879227053,187.8,190.36413634989637,0.4856993915235142,0.4590319003499923,0.16288502744852518,138
REM,39.549275362318845,23.6,35.130757999535376,0.06470655458863678,0.0663748482088646,0.03281610713628778,138
