stage,mean,median,std,count,min,max,p10,p25,p50,p75,p90,p95,p99
Awake,1.9018469127305058,0.13333333333333333,9.863017523997325,23246,0.06666666666666667,428.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.3333333333333333,1.9333333333333333,7.866666666666666,38.93333333333333
NREM,1.6406422687936608,1.2,1.56856285265437,22379,0.06666666666666667,20.333333333333332,0.3333333333333333,0.6,1.2,2.066666666666667,3.533333333333333,4.733333333333333,7.681333333333411
REM,1.132558622120772,0.9333333333333333,0.836463940662134,4819,0.06666666666666667,5.066666666666666,0.26666666666666666,0.4666666666666667,0.9333333333333333,1.6,2.4,2.8,3.5213333333333137
