,S1,S2,S3,S4,S5,S6,S7,S8
S1,,0.6038961038961039,0.04220779220779221,0.09740259740259741,0.06818181818181818,0.08766233766233766,0.05519480519480519,0.045454545454545456
S2,0.1752873563218391,,0.20833333333333334,0.15517241379310345,0.07614942528735633,0.16954022988505746,0.21408045977011494,0.0014367816091954023
S3,0.2702702702702703,0.5027027027027027,,0.0918918918918919,0.005405405405405406,0.06486486486486487,0.04864864864864865,0.016216216216216217
S4,0.22043010752688172,0.6720430107526881,0.0,,0.03225806451612903,0.043010752688172046,0.026881720430107527,0.005376344086021506
S5,0.2677165354330709,0.2440944881889764,0.07086614173228346,0.15748031496062992,,0.13385826771653545,0.12598425196850394,0.0
S6,0.12169312169312169,0.5978835978835979,0.0582010582010582,0.021164021164021163,0.1746031746031746,,0.026455026455026454,0.0
S7,0.12437810945273632,0.7114427860696517,0.03482587064676617,0.03482587064676617,0.06467661691542288,0.029850746268656716,,0.0
S8,0.7368421052631579,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.0,
