,Mean Amplitude,Std Deviation,Variance,Skewness
Awake,-0.000205 ± 0.000722,0.001389,0.00002212,-2.0931
NREM,-0.000171 ± 0.000606,0.000496,0.00000240,-0.9692
REM,-0.000186 ± 0.000630,0.000337,0.00000087,-0.1819
Artifact,-0.000765 ± 0.001082,0.002440,0.00001765,0.1587
