,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8
Substage 1,,0.5502846299810247,0.0967741935483871,0.12903225806451613,0.07210626185958255,0.14990512333965844,0.0018975332068311196,0.0
Substage 2,0.23724261414503134,,0.06982990152193375,0.09668755595344673,0.4843330349149508,0.09758281110116383,0.007162041181736795,0.007162041181736795
Substage 3,0.23414634146341465,0.3804878048780488,,0.00975609756097561,0.3121951219512195,0.06341463414634146,0.0,0.0
Substage 4,0.3651452282157676,0.2572614107883817,0.029045643153526972,,0.17842323651452283,0.16597510373443983,0.0,0.004149377593360996
Substage 5,0.07593123209169055,0.8137535816618912,0.09169054441260745,0.01002865329512894,,0.008595988538681949,0.0,0.0
Substage 6,0.291497975708502,0.4048582995951417,0.020242914979757085,0.22672064777327935,0.05263157894736842,,0.0,0.004048582995951417
Substage 7,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,,0.0
Substage 8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
