Frequency_Band,Freq_Min_Hz,Freq_Max_Hz,Sleep_Stage,Mean_Power,CI_Lower,CI_Upper,Power_uV2_Hz
14-15 Hz,14,15,Awake,4.753988e-05,-2.079699e-05,1.158768e-04,4.753988e-05
14-15 Hz,14,15,NREM,4.423677e-05,2.947312e-05,5.900042e-05,4.4236775e-05
14-15 Hz,14,15,REM,2.239450e-05,1.470132e-05,3.008768e-05,2.23945e-05
14-15 Hz,14,15,Artifact,1.977742e-05,-7.762939e-06,4.731777e-05,1.9777417e-05
15-16 Hz,15,16,Awake,3.343191e-05,-1.001196e-05,7.687577e-05,3.343191e-05
15-16 Hz,15,16,NREM,3.647739e-05,2.453526e-05,4.841951e-05,3.6477388e-05
15-16 Hz,15,16,REM,2.015537e-05,1.313267e-05,2.717806e-05,2.0155367e-05
15-16 Hz,15,16,Artifact,1.669740e-05,-5.315045e-06,3.870984e-05,1.6697395e-05
16-17 Hz,16,17,Awake,2.638574e-05,-4.968258e-06,5.773975e-05,2.6385744e-05
16-17 Hz,16,17,NREM,3.200384e-05,1.999581e-05,4.401187e-05,3.2003838e-05
16-17 Hz,16,17,REM,1.731262e-05,1.132909e-05,2.329616e-05,1.7312623e-05
16-17 Hz,16,17,Artifact,1.518027e-05,-4.676584e-06,3.503713e-05,1.5180274e-05
17-18 Hz,17,18,Awake,2.107648e-05,-1.424427e-06,4.357739e-05,2.107648e-05
17-18 Hz,17,18,NREM,2.699025e-05,1.686030e-05,3.712020e-05,2.699025e-05
17-18 Hz,17,18,REM,1.487494e-05,9.851300e-06,1.989859e-05,1.4874943e-05
17-18 Hz,17,18,Artifact,1.346285e-05,-3.380801e-06,3.030650e-05,1.3462851e-05
18-19 Hz,18,19,Awake,1.688120e-05,8.656489e-07,3.289676e-05,1.6881202e-05
18-19 Hz,18,19,NREM,2.388156e-05,1.360062e-05,3.416251e-05,2.3881565e-05
18-19 Hz,18,19,REM,1.255714e-05,8.485087e-06,1.662918e-05,1.2557136e-05
18-19 Hz,18,19,Artifact,1.272428e-05,-3.195391e-06,2.864395e-05,1.2724278e-05
19-20 Hz,19,20,Awake,1.506724e-05,1.252571e-06,2.888190e-05,1.5067237e-05
19-20 Hz,19,20,NREM,2.168313e-05,1.071138e-05,3.265487e-05,2.1683129e-05
19-20 Hz,19,20,REM,1.153552e-05,7.629676e-06,1.544137e-05,1.1535523e-05
19-20 Hz,19,20,Artifact,1.211833e-05,-2.525511e-06,2.676217e-05,1.2118329e-05
20-21 Hz,20,21,Awake,1.380066e-05,9.687043e-07,2.663262e-05,1.3800664e-05
20-21 Hz,20,21,NREM,1.702451e-05,1.031274e-05,2.373628e-05,1.7024508e-05
20-21 Hz,20,21,REM,1.000294e-05,6.711090e-06,1.329478e-05,1.0002936e-05
20-21 Hz,20,21,Artifact,1.056923e-05,-1.302825e-06,2.244127e-05,1.0569225e-05
21-22 Hz,21,22,Awake,1.202361e-05,1.999436e-06,2.204779e-05,1.2023611e-05
21-22 Hz,21,22,NREM,1.425279e-05,9.106674e-06,1.939890e-05,1.4252787e-05
21-22 Hz,21,22,REM,8.683833e-06,5.936574e-06,1.143109e-05,8.683833e-06
21-22 Hz,21,22,Artifact,9.746673e-06,-1.310214e-06,2.080356e-05,9.746673e-06
22-23 Hz,22,23,Awake,1.102071e-05,1.914434e-06,2.012698e-05,1.1020708e-05
22-23 Hz,22,23,NREM,1.230649e-05,7.971212e-06,1.664176e-05,1.23064865e-05
22-23 Hz,22,23,REM,7.661566e-06,5.248877e-06,1.007426e-05,7.661566e-06
22-23 Hz,22,23,Artifact,9.541364e-06,-1.216457e-06,2.029919e-05,9.541364e-06
23-24 Hz,23,24,Awake,1.015660e-05,2.118771e-06,1.819442e-05,1.01565965e-05
23-24 Hz,23,24,NREM,1.114519e-05,7.074685e-06,1.521569e-05,1.1145189e-05
23-24 Hz,23,24,REM,6.846123e-06,4.716151e-06,8.976094e-06,6.8461227e-06
23-24 Hz,23,24,Artifact,9.421489e-06,-1.156146e-06,1.999912e-05,9.421489e-06
24-25 Hz,24,25,Awake,9.621187e-06,1.671899e-06,1.757048e-05,9.621187e-06
24-25 Hz,24,25,NREM,9.212033e-06,6.182331e-06,1.224173e-05,9.212033e-06
24-25 Hz,24,25,REM,6.087246e-06,4.295012e-06,7.879480e-06,6.087246e-06
24-25 Hz,24,25,Artifact,8.690694e-06,-9.863283e-07,1.836772e-05,8.690694e-06
25-26 Hz,25,26,Awake,8.303947e-06,1.778795e-06,1.482910e-05,8.303947e-06
25-26 Hz,25,26,NREM,8.087632e-06,5.432276e-06,1.074299e-05,8.087632e-06
25-26 Hz,25,26,REM,5.233044e-06,3.742774e-06,6.723313e-06,5.233044e-06
25-26 Hz,25,26,Artifact,7.050628e-06,-7.650231e-07,1.486628e-05,7.0506285e-06
26-27 Hz,26,27,Awake,7.184036e-06,1.710172e-06,1.265790e-05,7.1840363e-06
26-27 Hz,26,27,NREM,6.536558e-06,4.484599e-06,8.588517e-06,6.536558e-06
26-27 Hz,26,27,REM,4.342343e-06,3.206686e-06,5.478000e-06,4.342343e-06
26-27 Hz,26,27,Artifact,3.759442e-06,-6.467647e-07,8.165649e-06,3.7594423e-06
27-28 Hz,27,28,Awake,6.623623e-06,1.118659e-06,1.212859e-05,6.6236234e-06
27-28 Hz,27,28,NREM,5.532649e-06,3.455510e-06,7.609788e-06,5.5326486e-06
27-28 Hz,27,28,REM,3.697512e-06,2.635126e-06,4.759898e-06,3.6975118e-06
27-28 Hz,27,28,Artifact,1.830188e-06,-4.057984e-07,4.066175e-06,1.8301884e-06
28-29 Hz,28,29,Awake,4.754897e-05,-4.294937e-05,1.380473e-04,4.754897e-05
28-29 Hz,28,29,NREM,1.298233e-05,-5.404225e-06,3.136889e-05,1.2982335e-05
28-29 Hz,28,29,REM,3.163369e-06,2.207242e-06,4.119496e-06,3.1633692e-06
28-29 Hz,28,29,Artifact,8.570445e-07,-3.596269e-07,2.073716e-06,8.570445e-07
29-30 Hz,29,30,Awake,5.402045e-06,9.678040e-07,9.836285e-06,5.4020447e-06
29-30 Hz,29,30,NREM,4.396887e-06,2.478333e-06,6.315440e-06,4.3968867e-06
29-30 Hz,29,30,REM,2.779334e-06,1.936120e-06,3.622549e-06,2.7793344e-06
29-30 Hz,29,30,Artifact,5.097827e-07,-2.912376e-07,1.310803e-06,5.097827e-07
30-31 Hz,30,31,Awake,5.024756e-06,7.804304e-07,9.269082e-06,5.0247563e-06
30-31 Hz,30,31,NREM,3.989851e-06,2.126351e-06,5.853351e-06,3.989851e-06
30-31 Hz,30,31,REM,2.490309e-06,1.734192e-06,3.246427e-06,2.4903095e-06
30-31 Hz,30,31,Artifact,3.606611e-07,-2.504979e-07,9.718200e-07,3.606611e-07
31-32 Hz,31,32,Awake,4.560789e-06,6.836937e-07,8.437885e-06,4.5607894e-06
31-32 Hz,31,32,NREM,3.387694e-06,1.849174e-06,4.926215e-06,3.3876943e-06
31-32 Hz,31,32,REM,2.231229e-06,1.584034e-06,2.878424e-06,2.2312288e-06
31-32 Hz,31,32,Artifact,2.780449e-07,-2.037949e-07,7.598848e-07,2.7804492e-07
32-33 Hz,32,33,Awake,4.138620e-06,7.267475e-07,7.550493e-06,4.13862e-06
32-33 Hz,32,33,NREM,3.077175e-06,1.560970e-06,4.593379e-06,3.0771748e-06
32-33 Hz,32,33,REM,1.990101e-06,1.413571e-06,2.566632e-06,1.9901013e-06
32-33 Hz,32,33,Artifact,2.176949e-07,-1.580058e-07,5.933955e-07,2.1769486e-07
33-34 Hz,33,34,Awake,4.063807e-06,2.612372e-07,7.866377e-06,4.063807e-06
33-34 Hz,33,34,NREM,2.750766e-06,1.377277e-06,4.124255e-06,2.7507658e-06
33-34 Hz,33,34,REM,1.772797e-06,1.260388e-06,2.285207e-06,1.7727973e-06
33-34 Hz,33,34,Artifact,1.930784e-07,-1.360203e-07,5.221772e-07,1.9307842e-07
34-35 Hz,34,35,Awake,3.536773e-06,5.239836e-07,6.549562e-06,3.536773e-06
34-35 Hz,34,35,NREM,2.518037e-06,1.113242e-06,3.922831e-06,2.5180366e-06
34-35 Hz,34,35,REM,1.638030e-06,1.182838e-06,2.093222e-06,1.63803e-06
34-35 Hz,34,35,Artifact,1.870923e-07,-1.337960e-07,5.079806e-07,1.8709233e-07
35-36 Hz,35,36,Awake,3.353824e-06,3.749650e-07,6.332683e-06,3.3538238e-06
35-36 Hz,35,36,NREM,2.346154e-06,9.880485e-07,3.704259e-06,2.346154e-06
35-36 Hz,35,36,REM,1.479741e-06,1.035611e-06,1.923872e-06,1.4797411e-06
35-36 Hz,35,36,Artifact,1.546532e-07,-1.122944e-07,4.216008e-07,1.546532e-07
36-37 Hz,36,37,Awake,3.109881e-06,3.625529e-07,5.857209e-06,3.1098812e-06
36-37 Hz,36,37,NREM,2.023711e-06,9.988803e-07,3.048541e-06,2.0237105e-06
36-37 Hz,36,37,REM,1.347567e-06,9.350596e-07,1.760074e-06,1.3475667e-06
36-37 Hz,36,37,Artifact,1.302813e-07,-9.555943e-08,3.561219e-07,1.3028125e-07
37-38 Hz,37,38,Awake,2.851044e-06,2.430497e-07,5.459038e-06,2.851044e-06
37-38 Hz,37,38,NREM,1.901710e-06,8.402259e-07,2.963193e-06,1.9017095e-06
37-38 Hz,37,38,REM,1.220499e-06,8.459623e-07,1.595036e-06,1.2204993e-06
37-38 Hz,37,38,Artifact,1.184782e-07,-9.108461e-08,3.280410e-07,1.1847818e-07
38-39 Hz,38,39,Awake,2.668785e-06,2.181522e-07,5.119418e-06,2.6687853e-06
38-39 Hz,38,39,NREM,1.810537e-06,7.309270e-07,2.890147e-06,1.8105368e-06
38-39 Hz,38,39,REM,1.160308e-06,7.849786e-07,1.535638e-06,1.1603082e-06
38-39 Hz,38,39,Artifact,1.066908e-07,-8.129733e-08,2.946790e-07,1.0669085e-07
39-40 Hz,39,40,Awake,2.461918e-06,2.974280e-07,4.626409e-06,2.4619185e-06
39-40 Hz,39,40,NREM,1.667316e-06,6.140464e-07,2.720585e-06,1.6673156e-06
39-40 Hz,39,40,REM,1.077100e-06,7.070523e-07,1.447148e-06,1.0770999e-06
39-40 Hz,39,40,Artifact,1.007651e-07,-7.732757e-08,2.788577e-07,1.0076507e-07
40-41 Hz,40,41,Awake,2.213880e-06,3.269684e-07,4.100792e-06,2.2138804e-06
40-41 Hz,40,41,NREM,1.606638e-06,4.371466e-07,2.776129e-06,1.606638e-06
40-41 Hz,40,41,REM,1.007786e-06,6.375257e-07,1.378046e-06,1.0077856e-06
40-41 Hz,40,41,Artifact,8.216385e-08,-5.806019e-08,2.223879e-07,8.216385e-08
41-42 Hz,41,42,Awake,1.935085e-06,4.194171e-07,3.450753e-06,1.935085e-06
41-42 Hz,41,42,NREM,1.499858e-06,3.612915e-07,2.638425e-06,1.4998582e-06
41-42 Hz,41,42,REM,9.613927e-07,5.932992e-07,1.329486e-06,9.613927e-07
41-42 Hz,41,42,Artifact,8.352855e-08,-6.000215e-08,2.270593e-07,8.3528555e-08
42-43 Hz,42,43,Awake,2.039649e-06,1.021932e-07,3.977105e-06,2.039649e-06
42-43 Hz,42,43,NREM,1.337693e-06,3.529916e-07,2.322394e-06,1.3376927e-06
42-43 Hz,42,43,REM,8.776842e-07,5.148417e-07,1.240527e-06,8.7768416e-07
42-43 Hz,42,43,Artifact,7.300338e-08,-5.212739e-08,1.981341e-07,7.300338e-08
43-44 Hz,43,44,Awake,1.751827e-06,2.691737e-07,3.234480e-06,1.7518266e-06
43-44 Hz,43,44,NREM,1.233581e-06,3.142480e-07,2.152914e-06,1.2335809e-06
43-44 Hz,43,44,REM,8.147827e-07,4.609807e-07,1.168585e-06,8.147827e-07
43-44 Hz,43,44,Artifact,7.025664e-08,-5.075865e-08,1.912719e-07,7.025664e-08
44-45 Hz,44,45,Awake,1.637340e-06,2.022204e-07,3.072459e-06,1.6373396e-06
44-45 Hz,44,45,NREM,1.203398e-06,1.862820e-07,2.220514e-06,1.203398e-06
44-45 Hz,44,45,REM,7.728211e-07,4.242324e-07,1.121410e-06,7.7282107e-07
44-45 Hz,44,45,Artifact,6.474397e-08,-4.700084e-08,1.764888e-07,6.474397e-08
45-46 Hz,45,46,Awake,1.464813e-06,2.519439e-07,2.677681e-06,1.4648126e-06
45-46 Hz,45,46,NREM,1.181007e-06,1.030303e-07,2.258985e-06,1.1810074e-06
45-46 Hz,45,46,REM,6.936544e-07,3.705142e-07,1.016795e-06,6.9365444e-07
45-46 Hz,45,46,Artifact,6.142439e-08,-4.434184e-08,1.671906e-07,6.1424394e-08
46-47 Hz,46,47,Awake,1.336564e-06,1.791365e-07,2.493991e-06,1.3365637e-06
46-47 Hz,46,47,NREM,1.124995e-06,4.828555e-09,2.245162e-06,1.1249952e-06
46-47 Hz,46,47,REM,6.329802e-07,3.417039e-07,9.242566e-07,6.3298023e-07
46-47 Hz,46,47,Artifact,6.442821e-08,-4.747789e-08,1.763343e-07,6.442821e-08
47-48 Hz,47,48,Awake,1.342262e-06,-7.899533e-08,2.763519e-06,1.3422618e-06
47-48 Hz,47,48,NREM,1.224127e-06,-2.445788e-07,2.692833e-06,1.224127e-06
47-48 Hz,47,48,REM,5.443756e-07,3.037392e-07,7.850119e-07,5.4437555e-07
47-48 Hz,47,48,Artifact,5.744042e-08,-4.222211e-08,1.571029e-07,5.7440417e-08
48-49 Hz,48,49,Awake,1.709470e-06,-7.750884e-07,4.194028e-06,1.70947e-06
48-49 Hz,48,49,NREM,1.947460e-06,-1.205774e-06,5.100693e-06,1.9474599e-06
48-49 Hz,48,49,REM,3.931704e-07,2.242748e-07,5.620660e-07,3.931704e-07
48-49 Hz,48,49,Artifact,5.384500e-08,-3.962130e-08,1.473113e-07,5.3844996e-08
49-50 Hz,49,50,Awake,8.871900e-05,-9.258798e-05,2.700260e-04,8.8719e-05
49-50 Hz,49,50,NREM,2.695834e-04,-2.845581e-04,8.237248e-04,0.00026958337
49-50 Hz,49,50,REM,3.472749e-07,1.603559e-07,5.341940e-07,3.4727495e-07
49-50 Hz,49,50,Artifact,5.312645e-08,-3.872497e-08,1.449779e-07,5.312645e-08
