,Awake,NREM,REM,Artifact
Awake,0.0,0.839544513457557,0.003105590062111801,0.15734989648033126
NREM,0.6900726392251816,0.0,0.30871670702179177,0.0012106537530266344
REM,0.9382239382239382,0.055984555984555984,0.0,0.005791505791505791
Artifact,0.9870550161812298,0.006472491909385114,0.006472491909385114,0.0
