,Substage 1,Substage 2,Substage 3,Substage 4
Substage 1,,0.9774774774774775,0.003003003003003003,0.01951951951951952
Substage 2,0.9497041420118343,,0.03550295857988166,0.014792899408284023
Substage 3,0.3076923076923077,0.6923076923076923,,0.0
Substage 4,0.7391304347826086,0.2608695652173913,0.0,
