,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5
Substage 1,,0.7294776119402985,0.07462686567164178,0.10074626865671642,0.09514925373134328
Substage 2,0.5274193548387097,,0.2806451612903226,0.11612903225806452,0.07580645161290323
Substage 3,0.49107142857142855,0.41964285714285715,,0.008928571428571428,0.08035714285714286
Substage 4,0.4090909090909091,0.5,0.05303030303030303,,0.03787878787878788
Substage 5,0.371900826446281,0.5702479338842975,0.024793388429752067,0.03305785123966942,
