stage_label,count,total_seconds,proportion,hours
N1,991598,3966324,0.5093060511289658,1101.7566666666667
N2,808739,3234885,0.41538573745004387,898.5791666666667
N3,114958,459828,0.05904490027781787,127.73
REM,31664,126651,0.016263311143172508,35.18083333333333
