,S1,S2,S3,S4
S1,,0.8529411764705882,0.10588235294117647,0.041176470588235294
S2,0.6595744680851063,,0.33617021276595743,0.00425531914893617
S3,0.09,0.89,,0.02
S4,0.7,0.0,0.3,
