,Substage 1,Substage 2,Substage 3,Substage 4
Substage 1,,0.8529411764705882,0.10588235294117647,0.041176470588235294
Substage 2,0.6595744680851063,,0.33617021276595743,0.00425531914893617
Substage 3,0.09,0.89,,0.02
Substage 4,0.7,0.0,0.3,
