group,q1,q3,iqr,lower_fence,upper_fence,n_outliers,n_total
Artifact,1.9509700166508992e-07,1.4459058661486779e-06,1.250808864483588e-06,-1.681116295060292e-06,3.32211916287406e-06,8,46
Non-Artifact,3.286978333960633e-08,8.054464117890348e-08,4.767485783929715e-08,-3.864250341933939e-08,1.520569279378492e-07,7,46
