group,q1,q3,iqr,lower_fence,upper_fence,n_outliers,n_total
Artifact,6.498384550468472e-06,2.1984733848512406e-05,1.5486349298043933e-05,-1.6731139396597428e-05,4.5214257795578305e-05,1,46
Non-Artifact,9.811618156163604e-06,1.8868234747060342e-05,9.056616590896738e-06,-3.7733067301815026e-06,3.245315963340545e-05,6,46
