,S1,S2,S3,S4
S1,,0.9774774774774775,0.003003003003003003,0.01951951951951952
S2,0.9497041420118343,,0.03550295857988166,0.014792899408284023
S3,0.3076923076923077,0.6923076923076923,,0.0
S4,0.7391304347826086,0.2608695652173913,0.0,
