,Substage 1,Substage 2,Substage 3,Substage 4
Substage 1,,0.5384174311926605,0.033256880733944956,0.4283256880733945
Substage 2,0.1752948231061363,,0.12392564461323206,0.7007795322806316
Substage 3,0.03793929712460064,0.23921725239616615,,0.7228434504792333
Substage 4,0.12718574727812604,0.5715935334872979,0.30122071923457605,
