,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5
Substage 1,,0.7916666666666666,0.13425925925925927,0.041666666666666664,0.032407407407407406
Substage 2,0.717948717948718,,0.24358974358974358,0.021367521367521368,0.017094017094017096
Substage 3,0.36046511627906974,0.6046511627906976,,0.03488372093023256,0.0
Substage 4,0.5294117647058824,0.47058823529411764,0.0,,0.0
Substage 5,0.6363636363636364,0.36363636363636365,0.0,0.0,
