,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8,Substage 9
Substage 1,,0.19490084985835693,0.10254957507082153,0.3881019830028329,0.26118980169971673,0.0169971671388102,0.01643059490084986,0.019263456090651557,0.0005665722379603399
Substage 2,0.27951967978652437,,0.15076717811874582,0.3762508338892595,0.01067378252168112,0.05203468979319546,0.1134089392928619,0.01734489659773182,0.0
Substage 3,0.22583926754832145,0.30925737538148523,,0.3367243133265514,0.01627670396744659,0.0508646998982706,0.009155645981688708,0.05188199389623601,0.0
Substage 4,0.2622289460413515,0.36661623802319715,0.23751891074130105,,0.028744326777609682,0.031265758951084216,0.036308623298033284,0.03731719616742309,0.0
Substage 5,0.8152753108348135,0.015985790408525755,0.03374777975133215,0.10301953818827708,,0.0,0.003552397868561279,0.028419182948490232,0.0
Substage 6,0.17699115044247787,0.19469026548672566,0.14601769911504425,0.4646017699115044,0.0,,0.017699115044247787,0.0,0.0
Substage 7,0.23693379790940766,0.23344947735191637,0.03832752613240418,0.4250871080139373,0.013937282229965157,0.020905923344947737,,0.0313588850174216,0.0
Substage 8,0.1761904761904762,0.014285714285714285,0.2,0.5666666666666667,0.04285714285714286,0.0,0.0,,0.0
Substage 9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
