,S1,S2,S3,S4,S5,S6,S7,S8,S9
S1,,0.0036900369003690036,0.593089567259309,0.0013418316001341832,0.0023482053002348204,0.3683327742368333,0.008386447500838645,0.02146930560214693,0.0013418316001341832
S2,0.004714364947310039,,0.10953965612867443,0.10177481974486967,0.07099278979478647,0.4403771491957848,0.2529118136439268,0.01774819744869662,0.0019412090959511925
S3,0.5021361435488465,0.06237539162631729,,0.008259755055539733,0.017943605810310452,0.31073768157220166,0.04784961549416121,0.05069780689262318,0.0
S4,0.0036576444769568397,0.06949524506217995,0.042794440380395024,,0.002926115581565472,0.6938551572787125,0.1667885881492319,0.002560351133869788,0.017922457937088514
S5,0.004948268106162843,0.13900134952766532,0.07062528115159694,0.006297795771479982,,0.540710751237067,0.17858749437696805,0.04588394062078273,0.013945119208277103
S6,0.12306026705160591,0.23072296403223866,0.08288223264766029,0.2331288343558282,0.18272585107662698,,0.05713942018525202,0.07181522915914833,0.018525201491639602
S7,0.016752136752136753,0.32205128205128203,0.06871794871794872,0.11247863247863248,0.1111111111111111,0.18666666666666668,,0.1811965811965812,0.0010256410256410256
S8,0.0654993514915694,0.00324254215304799,0.11932555123216602,0.0019455252918287938,0.008430609597924773,0.4883268482490272,0.3132295719844358,,0.0
S9,0.028225806451612902,0.04838709677419355,0.0,0.20161290322580644,0.12903225806451613,0.5564516129032258,0.036290322580645164,0.0,
