,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8,Substage 9
Substage 1,,0.011463046757164403,0.8618401206636501,0.0006033182503770739,0.03257918552036199,0.004524886877828055,0.0,0.0889894419306184,0.0
Substage 2,0.011327594019030359,,0.05935659265971908,0.07045763479836882,0.6085183507023109,0.07430901676483914,0.05188038060715904,0.12369732668781151,0.00045310376076121433
Substage 3,0.5608023401587965,0.041997492687003764,,0.06560802340158796,0.159423318010865,0.07292101964061846,0.015879648976180525,0.08211450062682825,0.0012536564981195152
Substage 4,0.009442583003350593,0.08163265306122448,0.09655802619555284,,0.22235759975632044,0.2741395065488882,0.23819677124581176,0.06548888212001218,0.012183978068839476
Substage 5,0.023233166388425153,0.4723149693934335,0.06260434056761269,0.17946577629382304,,0.04493600445186422,0.043544796883695044,0.17390094602114636,0.0
Substage 6,0.02095238095238095,0.1757142857142857,0.13476190476190475,0.3942857142857143,0.15476190476190477,,0.004761904761904762,0.041428571428571426,0.07333333333333333
Substage 7,0.00693000693000693,0.00693000693000693,0.1094941094941095,0.2543312543312543,0.4407484407484408,0.004851004851004851,,0.176022176022176,0.000693000693000693
Substage 8,0.10789473684210527,0.04276315789473684,0.14769736842105263,0.036513157894736845,0.6384868421052632,0.019078947368421053,0.007565789473684211,,0.0
Substage 9,0.0049261083743842365,0.014778325123152709,0.04433497536945813,0.2955665024630542,0.0,0.5911330049261084,0.04926108374384237,0.0,
