,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5
Substage 1,,0.14305620065025546,0.006038086391082211,0.2847189967487227,0.5661867162099397
Substage 2,0.07398133394035966,,0.0746642385613476,0.6378329160027316,0.21352151149556112
Substage 3,0.02015316404675534,0.11567916162837566,,0.6178960096735188,0.24627166465135025
Substage 4,0.10197486535008976,0.5269299820466786,0.28114901256732494,,0.08994614003590665
Substage 5,0.3698378709085347,0.26399510553686145,0.17558886509635974,0.1905781584582441,
