,Awake,NREM,REM,Artifact
Awake,0.0,0.9439627280962858,0.0020706613174582634,0.053966610586255986
NREM,0.7797597705270707,0.0,0.2121728217999283,0.008067407673001075
REM,0.9356312292358804,0.056893687707641194,0.0,0.007475083056478406
Artifact,0.8610354223433242,0.11580381471389646,0.02316076294277929,0.0
