,Awake,NREM,REM,Artifact
Awake,0.9999317272744797,6.444690823674163e-05,1.4136969177239732e-07,3.6844475918181053e-06
NREM,6.169978306238535e-05,0.9999208733440804,1.678852586603818e-05,6.383469911041134e-07
REM,0.00010750096962009716,6.5368987296730185e-06,0.9998851032690435,8.588626068183528e-07
Artifact,0.0006578081146667791,8.847102808018389e-05,1.7694205616036777e-05,0.999236026651637
