,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8,Substage 9
Substage 1,,0.36,0.47,0.075,0.0525,0.0075,0.0275,0.0075,0.0
Substage 2,0.20140105078809106,,0.5078809106830122,0.03852889667250438,0.2119089316987741,0.017513134851138354,0.0035026269702276708,0.017513134851138354,0.0017513134851138354
Substage 3,0.29376854599406527,0.5029673590504451,,0.05637982195845697,0.12759643916913946,0.011869436201780416,0.005934718100890208,0.001483679525222552,0.0
Substage 4,0.23622047244094488,0.2204724409448819,0.41732283464566927,,0.015748031496062992,0.06299212598425197,0.03937007874015748,0.007874015748031496,0.0
Substage 5,0.14583333333333334,0.1625,0.5375,0.09583333333333334,,0.025,0.008333333333333333,0.0125,0.0125
Substage 6,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.22857142857142856,0.14285714285714285,,0.02857142857142857,0.02857142857142857,0.0
Substage 7,0.44,0.0,0.2,0.2,0.16,0.0,,0.0,0.0
Substage 8,0.21052631578947367,0.5789473684210527,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,,0.0
Substage 9,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,
