,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7
Substage 1,,0.029865604778496764,0.027874564459930314,0.5754106520657043,0.0054753608760577405,0.19014435042309608,0.1712294673967148
Substage 2,0.03750285844957695,,0.06906014177909901,0.6718499885662017,0.02309627258175166,0.10496226846558426,0.09352847015778641
Substage 3,0.03678929765886288,0.08138238573021182,,0.4088628762541806,0.22324414715719063,0.22268673355629878,0.027034559643255296
Substage 4,0.11980627071119042,0.43448891154728525,0.2709660973744583,,0.037343869487637016,0.017970940606678563,0.11942391027275044
Substage 5,0.0364741641337386,0.004559270516717325,0.2621580547112462,0.5501519756838906,,0.050911854103343465,0.09574468085106383
Substage 6,0.18405873099108547,0.26848453067645517,0.3801782905086523,0.0692186680650236,0.05768222338751967,,0.040377556371263765
Substage 7,0.1879396984924623,0.04723618090452261,0.017085427135678392,0.7180904522613065,0.0,0.02964824120603015,
